field_code,display_name,data_type,required,source,system_mapping,example,confirmation_method,approval_status,notes
project_id,平台项目ID,integer,yes,existing_system,apps.projects.Project.id,123,平台读取后人工确认,approved,现有系统字段
project_code,项目编号,string,yes,existing_system,apps.projects.Project.code,WF-2026-001,平台读取后人工确认,approved,现有系统字段
project_name,项目名称,string,yes,existing_system,apps.projects.Project.name,某风电场检测项目,平台读取后人工确认,approved,现有系统字段
project_status,项目状态,enum,yes,existing_system,apps.projects.Project.status,active,平台读取,approved,归档项目未来禁止生成和导出
project_manager_user_id,平台项目负责人ID,integer,no,existing_system,apps.projects.Project.manager_id,18,平台读取后人工确认,approved,现有字段允许为空
source_document_version_ids,来源文档版本ID列表,list[integer],yes,existing_system,apps.documents.DocumentVersion.id,[138],选择资料时人工确认,approved,只记录ID且文件访问仍走现有权限
business_type,一期业务类型,string,yes,manual_confirmation,,wind_turbine_inspection_four_measures_two_plans,任务创建时人工确认,approved,固定为Phase0选定的风电机组检测四措两案编制
client_code,甲方编码,string,yes,manual_confirmation,,CLIENT-A,人工确认,approved,不得依靠模型从历史案例继承
client_name,甲方名称,string,yes,source_document,,示例新能源公司,来源引用并人工确认,approved,示例为虚构值
site_name,场站名称,string,yes,source_document,,示例风电场,来源引用并人工确认,approved,历史场站名称不得复用
project_location,项目地点,string,conditional,source_document,,某省某市,来源引用并人工确认,approved,模板或施工方案要求地点时必填
work_scope,工作范围,text,yes,source_document,,风电机组质保期满检测,来源引用并人工确认,approved,不得由模型扩展范围
inspection_component_codes,检测部件编码列表,list[string],yes,source_document,,[tower_weld],来源引用并人工确认,approved,编码表需随一期业务确认
inspection_method_codes,检测方法编码列表,list[string],yes,source_document,,[ultrasonic_testing],来源引用并人工确认,approved,方法影响技术条款和RAG过滤
turbine_model,机组型号,string,conditional,source_document,,WT-3000,来源引用并人工确认,approved,检测方法依赖机型时必填
turbine_quantity,涉及机组数量,integer,conditional,source_document,,24,来源引用并人工确认,approved,涉及多台机组时必填
inspection_quantity,检测数量,integer,conditional,source_document,,24,来源引用并人工确认,approved,单位必须与检测对象一并确认
inspection_unit,检测数量单位,string,conditional,source_document,,台,来源引用并人工确认,approved,inspection_quantity存在时必填
planned_start_date,计划开始日期,date,conditional,source_document,,2026-08-01,来源引用并人工确认,approved,资料未确定时必须进入missing_items
planned_end_date,计划结束日期,date,conditional,source_document,,2026-08-15,来源引用并人工确认,approved,不得根据工期自行推算后直接确认
work_ticket_types,工作票类型列表,list[string],conditional,manual_confirmation,,[wind_turbine_work_ticket],人工确认,approved,适用条件由技术负责人确定
project_leader,项目负责人,object,yes,manual_confirmation,,{employee_id:18},人工确认,approved,正式输出显示字段另行确认
site_work_leader,现场工作负责人,object,conditional,manual_confirmation,,{employee_id:21},人工确认,approved,涉及现场作业时必填
safety_supervisor,安全监督人,object,conditional,manual_confirmation,,{employee_id:22},人工确认,approved,涉及现场作业时必填
quality_acceptance_leader,质量验收负责人,object,conditional,manual_confirmation,,{employee_id:23},人工确认,approved,甲方或业务要求时必填
team_members,作业班组成员,list[object],yes,manual_confirmation,,[{employee_id:24}],人工确认,approved,不得从历史项目复制人员
special_operation_personnel,特种作业人员,list[object],conditional,manual_confirmation,,"[{employee_id:25,certificate_type:high_altitude}]",资质校验后人工确认,approved,高处或其他特种作业触发
applicable_standard_codes,适用标准编号列表,list[string],yes,manual_confirmation,,[STANDARD-CODE],技术负责人逐项确认,approved,不得从历史文档无条件继承
tool_equipment_items,工器具和检测设备,list[object],yes,source_document,,"[{code:UT-01,quantity:1}]",来源引用并人工确认,approved,应与检测方法匹配
ppe_items,个人防护用品,list[object],conditional,manual_confirmation,,"[{code:full_body_harness,quantity:4}]",风险规则触发后人工确认,approved,高处等风险触发
risk_evidence_items,风险证据列表,list[object],yes,source_document,,"[{risk_code:high_altitude,evidence:登塔作业}]",人工确认,approved,风险标签由确定性规则生成
emergency_contacts,应急联系人列表,list[object],conditional,manual_confirmation,,"[{role:site_contact,phone:masked}]",人工确认,approved,真实电话不得进入测试数据或日志
environmental_constraints,环境约束,text,conditional,source_document,,林区防火要求,来源引用并人工确认,approved,存在林区或环保要求时必填
