annotation_id,sample_id,document_version_id,section_code,heading_text,paragraph_start,paragraph_end,reusable_status,contains_project_specific_data,review_status,reviewer,notes
A001,S001,134,overview,检测概况,20,63,project_specific,yes,approved,项目方授权,已按正确文档正文标题人工定位
A002,S002,135,overview,一、工程概况,25,29,project_specific,yes,approved,项目方授权,已按正确文档正文标题人工定位
A003,S002,135,organization_measures,二、组织措施,30,55,project_specific,yes,approved,项目方授权,组织架构和人员必须替换为当前项目事实
A004,S002,135,construction_plan,三、施工作业方案,56,84,reusable,yes,approved,项目方授权,步骤结构可复用但对象数量和方法必须取当前项目
A005,S002,135,technical_measures,四、技术质量措施,85,101,reusable,yes,approved,项目方授权,技术结构可复用且外部标准编号须重新确认
A006,S002,135,safety_measures,五、安全措施,102,169,reusable,yes,approved,项目方授权,按当前项目风险标签选择并清理历史实体
A007,S002,135,risk_identification,六、作业危险点（源）辨识及预控措施,170,171,reusable,yes,approved,项目方授权,正文主要位于表格且必须按当前项目事实重新触发
A008,S002,135,emergency_plan,七、应急预案或现场处置措施,172,924,reusable,yes,approved,项目方授权,章节结构可复用且联系人地点等必须取当前项目
A009,S003,136,overview,一、工程概况,17,21,project_specific,yes,approved,项目方授权,已按正确文档正文标题人工定位
A010,S003,136,organization_measures,二、组织措施,22,47,project_specific,yes,approved,项目方授权,组织架构和人员必须替换为当前项目事实
A011,S003,136,construction_plan,三、施工作业方案,48,76,reusable,yes,approved,项目方授权,步骤结构可复用但对象数量和方法必须取当前项目
A012,S003,136,technical_measures,四、技术质量措施,77,93,reusable,yes,approved,项目方授权,技术结构可复用且外部标准编号须重新确认
A013,S003,136,safety_measures,五、安全措施,94,161,reusable,yes,approved,项目方授权,按当前项目风险标签选择并清理历史实体
A014,S003,136,risk_identification,六、作业危险点（源）辨识及预控措施,162,163,reusable,yes,approved,项目方授权,正文主要位于表格且必须按当前项目事实重新触发
A015,S003,136,emergency_plan,七、应急预案或现场处置措施,164,916,reusable,yes,approved,项目方授权,章节结构可复用且联系人地点等必须取当前项目
A016,S003,136,environmental_measures,八、环境保护措施,917,936,reusable,yes,approved,项目方授权,按当前项目环境约束选择
A017,S004,137,overview,一、项目概况,73,86,project_specific,yes,approved,项目方授权,已排除目录页同名标题
A018,S004,137,organization_measures,二、组织措施,87,127,project_specific,yes,approved,项目方授权,组织架构和人员必须替换为当前项目事实
A019,S004,137,technical_measures,三、技术措施,128,209,reusable,yes,approved,项目方授权,技术结构可复用且外部标准编号须重新确认
A020,S004,137,safety_measures,四、安全措施,210,294,reusable,yes,approved,项目方授权,按当前项目风险标签选择并清理历史实体
A021,S004,137,construction_plan,五、施工方案,295,432,reusable,yes,approved,项目方授权,已按后续环保正文标题确定边界
A022,S004,137,environmental_measures,六、环保措施,433,460,reusable,yes,approved,项目方授权,按当前项目环境约束选择
A023,S004,137,emergency_plan,七、应急预案,461,689,reusable,yes,approved,项目方授权,章节结构可复用且联系人地点等必须取当前项目
A024,S005,138,overview,一、概况、工作任务及内容,26,34,project_specific,yes,approved,项目方授权,已排除目录页同名标题
A025,S005,138,organization_measures,二、组织措施,35,52,project_specific,yes,approved,项目方授权,组织架构和人员必须替换为当前项目事实
A026,S005,138,technical_measures,三、技术措施,53,132,reusable,yes,approved,项目方授权,技术结构可复用且外部标准编号须重新确认
A027,S005,138,safety_measures,四、安全措施,133,208,reusable,yes,approved,项目方授权,按当前项目风险标签选择并清理历史实体
A028,S005,138,environmental_measures,五、环境保护措施,209,227,reusable,yes,approved,项目方授权,按当前项目环境约束选择
A029,S005,138,construction_plan,六、施工方案,228,315,reusable,yes,approved,项目方授权,步骤结构可复用但对象数量和方法必须取当前项目
A030,S005,138,emergency_plan,七、应急预案,316,410,reusable,yes,approved,项目方授权,章节结构可复用且联系人地点等必须取当前项目
A031,S006,139,overview,一、概况、工作任务及内容,30,38,project_specific,yes,approved,项目方授权,已排除目录页同名标题
A032,S006,139,organization_measures,二、组织措施,39,87,project_specific,yes,approved,项目方授权,组织架构和人员必须替换为当前项目事实
A033,S006,139,technical_measures,三、技术措施,88,106,reusable,yes,approved,项目方授权,技术结构可复用且外部标准编号须重新确认
A034,S006,139,safety_measures,四、安全措施,107,182,reusable,yes,approved,项目方授权,按当前项目风险标签选择并清理历史实体
A035,S006,139,environmental_measures,五、环境保护措施,183,201,reusable,yes,approved,项目方授权,按当前项目环境约束选择
A036,S006,139,construction_plan,六、施工方案,202,346,reusable,yes,approved,项目方授权,步骤结构可复用但对象数量和方法必须取当前项目
A037,S006,139,emergency_plan,七、应急预案,347,436,reusable,yes,approved,项目方授权,章节结构可复用且联系人地点等必须取当前项目
A038,S001,134,organization_measures,组织措施,64,104,project_specific,yes,approved,项目方授权,组织架构和人员必须替换为当前项目事实
A039,S001,134,construction_plan,施工方案,105,149,reusable,yes,approved,项目方授权,步骤结构可复用但对象数量和方法必须取当前项目
A040,S001,134,technical_measures,技术措施,150,189,reusable,yes,approved,项目方授权,技术结构可复用且外部标准编号须重新确认
A041,S001,134,safety_measures,安全措施,190,233,reusable,yes,approved,项目方授权,按当前项目风险标签选择并清理历史实体
A042,S001,134,environmental_measures,环境保护措施及要求,234,261,reusable,yes,approved,项目方授权,按当前项目环境约束选择
A043,S001,134,emergency_plan,现场应急处置方案,262,493,reusable,yes,approved,项目方授权,章节结构可复用且联系人地点等必须取当前项目
