sample_id,document_version_id,document_id,business_type_code,document_title,original_filename,sha256,source_format,storage_verified,duplicate_of_sample_id,technical_review_status,approval_evidence,usage_role,blind_eligible,notes
S001,134,134,wind_turbine_inspection_four_measures_two_plans,风机焊缝、螺栓等部件检测三措两案.docx,风机焊缝、螺栓等部件检测三措两案.docx,cb3e804403fbb3eea6c7895b26f6a4500d36f5e7a9a8c09fa2f5b23862a3e30b,docx,yes,,approved,项目方确认技术方案目录内措两案文档正确（2026-07-23）,development,no,已用于Phase 0结构盘点且不能作为盲测
S002,135,135,wind_turbine_inspection_four_measures_two_plans,风机扫塔探伤项目三措两案.docx,风机扫塔探伤项目三措两案.docx,bbb6c3c367d2f0ff084c86590c7a1d13ecf21f18d5fe3cfebf262432ef71f437,docx,yes,,approved,项目方确认技术方案目录内措两案文档正确（2026-07-23）,development,no,已用于Phase 0结构盘点且不能作为盲测
S003,136,136,wind_turbine_inspection_four_measures_two_plans,风机扫塔探伤项目四措两案.docx,风机扫塔探伤项目四措两案.docx,15e0e106f4da48bd0d9c7069fec7fe102d7aa2e60239b72149533da64ca2341d,docx,yes,,approved,项目方确认技术方案目录内措两案文档正确（2026-07-23）,development,no,已用于Phase 0结构盘点且不能作为盲测
S004,137,137,wind_turbine_inspection_four_measures_two_plans,塔筒焊缝三措两案.docx,塔筒焊缝三措两案.docx,3032c045dc0fa6e9f7be890301155ca4ac4fb2efc2e0874186595ab0f1f79db7,docx,yes,,approved,项目方确认技术方案目录内措两案文档正确（2026-07-23）,development,no,与S007相同哈希且已用于Phase 0结构盘点
S005,138,138,wind_turbine_inspection_four_measures_two_plans,主机设备出质保检测四措两案.docx,主机设备出质保检测四措两案.docx,539fd52ae981f701e3f8f18d155926dd125af95e780b77c0665b01552fc48d9b,docx,yes,,approved,项目方确认技术方案目录内措两案文档正确（2026-07-23）,development,no,已用于Phase 0结构盘点且不能作为盲测
S006,139,139,wind_turbine_inspection_four_measures_two_plans,风电机组质保期满检测四措两案.docx,风电机组质保期满检测四措两案.docx,7ae8700aa39785ac64064e17d479dcb2ce2352447b9554672b6d8686352b57f0,docx,yes,,approved,项目方确认技术方案目录内措两案文档正确（2026-07-23）,development,no,已用于Phase 0结构盘点且不能作为盲测
S007,113,114,wind_turbine_inspection_four_measures_two_plans,四措两案.docx,四措两案.docx,3032c045dc0fa6e9f7be890301155ca4ac4fb2efc2e0874186595ab0f1f79db7,docx,yes,S004,excluded_duplicate,SHA-256与S004相同,excluded,no,重复上传不计入样本数量
S008,179,179,wind_turbine_inspection_four_measures_two_plans,国华投资塔筒凹陷焊缝三措两案.docx,国华投资塔筒凹陷焊缝三措两案.docx,3032c045dc0fa6e9f7be890301155ca4ac4fb2efc2e0874186595ab0f1f79db7,docx,yes,S004,excluded_duplicate,SHA-256与S004相同,excluded,no,2026-07-24重新上传；重复文件不计入盲测
S009,180,180,wind_turbine_inspection_four_measures_two_plans,国能科环望奎新能源有限公司望奎妙香山20万千瓦风电项目风机焊缝、螺栓等部件检测项目三措两案20251216(2).docx,国能科环望奎新能源有限公司望奎妙香山20万千瓦风电项目风机焊缝、螺栓等部件检测项目三措两案20251216(2).docx,cafdd6cea33e746fbab6fe0ce60874ea732ad916a12a1b858e564fa9cc77759c,docx,yes,,approved,项目方确认技术方案内措两案正确并于2026-07-24作为盲测重新上传,blind,yes,仅核对元数据和哈希；正文保持隔离
S010,181,181,wind_turbine_inspection_four_measures_two_plans,皓达甘肃瓜州新风机实验场四措两案.docx,皓达甘肃瓜州新风机实验场四措两案.docx,e508d0af07a94b25c51caef20b92ae4d70a02980122e46484f639cc23e630531,docx,yes,,approved,项目方确认技术方案内措两案正确并于2026-07-24作为盲测重新上传,blind,yes,仅核对元数据和哈希；正文保持隔离
